City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Hardy,CA,50.6996,-127.4199,288.25,82,90,1.03,overcast clouds
79,Nome,US,64.5011,-165.4064,288.8,56,40,3.6,scattered clouds
80,Hobart,AU,-42.8794,147.3294,286.07,68,0,2.24,clear sky
81,Constitucion,CL,-35.3333,-72.4167,282.62,84,0,4.03,clear sky
82,Eufaula,US,31.8913,-85.1455,305.39,78,96,1.79,overcast clouds
83,Usinsk,RU,65.9939,57.5281,280.76,80,1,4.69,clear sky
84,Pevek,RU,69.7008,170.3133,278.06,76,100,4.45,overcast clouds
85,Beloha,MG,-25.1667,45.05,289.25,90,0,1.86,clear sky
86,Rodbyhavn,DK,54.6544,11.352,288.23,83,83,5.53,broken clouds
87,Puerto Penasco,MX,31.3167,-113.5333,304.21,80,37,5.36,scattered clouds
88,Ust-Barguzin,RU,53.45,108.9833,286.73,82,100,0.15,overcast clouds
89,Pangnirtung,CA,66.1451,-65.7125,282.85,96,100,2.27,moderate rain
90,Saint George,US,37.1041,-113.5841,312.41,12,1,4.47,clear sky
91,Masaka,UG,-0.3338,31.7341,293.18,69,99,2.79,overcast clouds
92,Bethel,US,41.3712,-73.414,297.42,84,90,2.06,overcast clouds
93,Viedma,AR,-40.8135,-62.9967,278.8,44,0,4.35,clear sky
94,Kodiak,US,57.79,-152.4072,283.43,99,100,7.12,light rain
95,Zaysan,KZ,47.4667,84.8667,290.78,68,100,2.88,overcast clouds
96,Lata,PT,40.1629,-8.3327,289.71,94,1,0.53,clear sky
97,Ancud,CL,-41.8697,-73.8203,280.61,85,29,2.2,scattered clouds
98,Broken Hill,AU,-31.95,141.4333,283.99,46,0,4.63,clear sky
99,Hasaki,JP,35.7333,140.8333,302.37,67,6,12.72,clear sky
100,Tucuman,AR,-26.8241,-65.2226,285.15,50,90,3.09,smoke
101,Umm Kaddadah,SD,13.6017,26.6876,299.81,59,22,5.2,few clouds
102,Mackenzie,CA,55.2999,-123.1698,294.27,40,75,5.66,broken clouds
103,Ixtapa,MX,20.7,-105.2,303.83,74,90,2.57,overcast clouds
104,Bathsheba,BB,13.2167,-59.5167,299.49,89,20,1.54,few clouds
105,Shelburne,CA,44.0787,-80.2041,300.6,72,76,3.33,broken clouds
