City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Atbasar,KZ,289.54,overcast clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
314,Kushiro,JP,288.68,broken clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
319,Aalter,BE,288.11,overcast clouds,51.0902,3.4469,Hotel Orchidee Aalter
321,Aklavik,CA,284.55,overcast clouds,68.2191,-135.0107,Aklavik Inn
326,Prince Rupert,CA,287.98,overcast clouds,54.3161,-130.3201,Crest Hotel
327,Lompoc,US,289.87,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
331,Alihe,CN,288.1,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
332,Kharp,RU,285.12,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
335,Darlington,GB,286.5,few clouds,54.5243,-1.5504,Mercure Darlington Kings Hotel
351,Varhaug,NO,288.62,overcast clouds,58.6147,5.6457,Jonas Bue
361,Havre-Saint-Pierre,CA,286.15,clear sky,50.2334,-63.5986,Auberge Niapiskau
363,Riorges,FR,287.14,overcast clouds,46.0418,4.0497,Kyriad Direct Roanne
364,Iqaluit,CA,281.0,overcast clouds,63.7506,-68.5145,Frobisher Inn
366,Juneau,US,286.6,heavy intensity rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
370,Coquimbo,CL,283.0,clear sky,-29.9533,-71.3436,Punto de encuentro
377,Calvinia,ZA,280.47,light rain,-31.4707,19.776,Die Lemoenhuis
384,Areosa,PT,289.99,overcast clouds,41.7178,-8.8571,Hotel Flôr de Sal
385,Timra,SE,288.53,overcast clouds,62.487,17.3257,Bergefors park
391,Tigil,RU,288.74,broken clouds,57.8,158.6667,Tigil'
392,Ilava,SK,289.94,scattered clouds,48.9977,18.2353,Hotel METAL
405,La Ronge,CA,288.29,broken clouds,55.1001,-105.2842,Northland Motor Hotel
410,Brae,GB,287.1,overcast clouds,60.3964,-1.353,Busta House Hotel
426,Severo-Kurilsk,RU,286.96,scattered clouds,50.6789,156.125,Апартаменты/Квартиры посуточно
428,Mirnyy,RU,286.7,overcast clouds,62.5353,113.9611,квартира
433,Ribeirao Bonito,BR,289.4,broken clouds,-22.0667,-48.1761,Hotel Pousada Veraneio
436,Beringovskiy,RU,281.75,broken clouds,63.05,179.3167,Beringgorski
438,Old Town,CZ,287.26,clear sky,50.087,14.4202,Botanique Hotel Prague
447,Sovetskiy,RU,287.96,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
450,Kinlochleven,GB,287.69,broken clouds,56.7115,-4.9661,The Tailrace Inn
453,Husavik,IS,281.1,overcast clouds,66.0449,-17.3389,Bjarnabúð
455,Chegutu,ZW,284.4,clear sky,-18.1302,30.1407,Jacaranda Lodge
464,Olafsvik,IS,286.1,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
466,Chumikan,RU,287.61,broken clouds,54.7183,135.315,Fortuna
467,Flin Flon,CA,286.55,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
468,Valparaiso,CL,282.95,clear sky,-33.0393,-71.6273,Hotel Ultramar
478,Hastings,GB,289.21,moderate rain,50.8552,0.5729,Zanzibar Hotel
486,Lensk,RU,286.92,overcast clouds,60.7253,114.9278,ТинОрС
489,Nipawin,CA,288.17,clear sky,53.3668,-104.0009,Tobin Lake Motel
491,Cachoeiro De Itapemirim,BR,288.85,clear sky,-20.8489,-41.1128,Bristol Easy Hotel - Cachoeiro
494,Broken Hill,AU,289.68,clear sky,-31.95,141.4333,Royal Exchange Hotel
496,Ihosy,MG,288.56,overcast clouds,-22.4,46.1167,Tamana Hôtel
498,Ahipara,NZ,284.11,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
502,Yar-Sale,RU,285.65,overcast clouds,66.8333,70.8333,Yalemd
503,Irricana,CA,287.6,overcast clouds,51.3237,-113.6048,Irricana Campground
506,Salta,AR,285.69,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
507,Lima,PE,288.29,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
517,North Bend,US,289.1,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
525,Mehamn,NO,289.25,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
529,Santa Cecilia,BR,283.64,scattered clouds,-26.9608,-50.4269,Hotel Italiano
535,Sitka,US,287.09,moderate rain,57.0531,-135.33,Westmark Sitka
536,Roald,NO,287.64,clear sky,62.5833,6.1333,Flem Cabins
539,Kurilsk,RU,287.29,overcast clouds,45.2333,147.8833,City of Kurilsk
542,Tomari,RU,288.17,overcast clouds,47.7658,142.0683,Vostochnaya
543,Hoopstad,ZA,280.68,few clouds,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
553,Rocha,UY,284.56,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
556,Kautokeino,NO,284.74,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
560,Sakskobing,DK,289.32,overcast clouds,54.7997,11.626,Hotel Saxkjøbing
561,Hualmay,PE,289.66,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
568,Shellbrook,CA,285.72,light rain,53.2168,-106.4011,Shellbrook Hotel
572,Lata,PT,284.85,broken clouds,40.1629,-8.3327,Casa Maquia
573,Ulverstone,AU,286.64,overcast clouds,-41.15,146.1667,Westella Colonial Bed & Breakfast
574,Horsham,GB,288.67,moderate rain,51.064,-0.3272,Wimblehurst Hotel
575,Solnechnyy,RU,283.72,light rain,50.7214,136.6319,Hotel complex Pastoral
576,Acari,PE,289.51,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
582,Mezen,RU,289.03,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
588,San Martin,AR,280.45,overcast clouds,-33.081,-68.4681,Club El Pelícano
591,Newport,GB,288.19,moderate rain,51.5877,-2.9984,ibis budget Newport
596,Vaxjo,SE,287.18,overcast clouds,56.8777,14.8091,Elite Stadshotellet Vaxjo
601,Tazovskiy,RU,289.03,clear sky,67.4667,78.7,TazHostel
607,Qaqortoq,GL,280.43,clear sky,60.7167,-46.0333,Hotel Qaqortoq
612,Magadan,RU,289.33,scattered clouds,59.5667,150.8,Magadan hotel
626,Scarborough,GB,285.81,few clouds,54.2797,-0.4044,Ambassador Roomzzz
641,Sistranda,NO,289.21,scattered clouds,63.7256,8.834,Hotell Frøya
644,Quime,BO,280.76,clear sky,-16.9833,-67.2167,Hostal Colibri
647,Margate,GB,288.88,moderate rain,51.3813,1.3862,Premier Inn Margate hotel
654,Castanheira De Pera,PT,286.03,scattered clouds,40.0072,-8.2105,Casa do Ouriço
657,Vestmannaeyjar,IS,286.66,overcast clouds,63.4427,-20.2734,Glamping & Camping
661,Andenes,NO,289.14,clear sky,69.3143,16.1194,Hotell Marena
684,Ekangala,ZA,287.95,clear sky,-25.6962,28.7492,Josiah's
692,High Level,CA,286.21,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
