City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Awjilah,LY,29.1081,21.2869,300.1,39,0,4.03,clear sky
79,Cherskiy,RU,68.75,161.3,291.78,28,48,3.11,scattered clouds
80,Udachnyy,RU,66.4167,112.4,292.22,53,69,2.8,broken clouds
81,Gbadolite,CD,4.2833,21.0167,293.53,96,95,0.09,overcast clouds
82,Taltal,CL,-25.4,-70.4833,286.53,70,3,1.65,clear sky
83,Darovskoy,RU,58.77,47.9564,289.02,80,100,3.84,light rain
84,Columbus,US,39.9612,-82.9988,297.7,87,1,2.06,clear sky
85,Chokurdakh,RU,70.6333,147.9167,297.28,29,82,5.84,broken clouds
86,Touros,BR,-5.1989,-35.4608,295.65,91,33,4.8,scattered clouds
87,Kaitangata,NZ,-46.2817,169.8464,278.02,94,79,5.27,broken clouds
88,Redondela,ES,42.2834,-8.6096,288.85,85,0,1.03,clear sky
89,Sosnovo-Ozerskoye,RU,52.5249,111.5418,293.02,49,64,2.58,broken clouds
90,Constitucion,CL,-35.3333,-72.4167,281.26,77,59,1.29,broken clouds
91,Samarai,PG,-10.6167,150.6667,299.64,78,85,6.03,overcast clouds
92,Harper,LR,4.375,-7.7169,297.02,88,99,4.51,light rain
93,San Patricio,US,28.017,-97.5169,303.09,79,4,7.09,clear sky
94,Ngunguru,NZ,-35.6167,174.5,283.8,55,37,9.62,scattered clouds
95,Elko,US,41.0002,-115.5012,294.62,40,0,3.58,clear sky
96,Geraldton,AU,-28.7667,114.6,292.38,68,75,8.23,broken clouds
97,Hithadhoo,MV,-0.6,73.0833,300.94,70,91,1.38,light rain
98,Esperance,AU,-33.8667,121.9,292.06,73,42,8.66,scattered clouds
99,Ayr,GB,55.4627,-4.6339,288.32,94,75,3.09,broken clouds
100,Aguada De Pasajeros,CU,22.385,-80.8508,296.52,92,3,2.83,clear sky
101,Cayenne,GF,4.9333,-52.3333,298.76,87,0,0.45,clear sky
102,Khatanga,RU,71.9667,102.5,288.22,79,100,4.96,overcast clouds
103,Imbituba,BR,-28.24,-48.6703,290.09,92,11,4.15,few clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,281.16,71,0,5.66,clear sky
105,Wajir,KE,1.7471,40.0573,296.38,64,62,6.68,broken clouds
106,Brumunddal,NO,60.881,10.9395,285.22,90,66,0.12,broken clouds
107,Itarema,BR,-2.9248,-39.9167,299.22,75,8,6.81,clear sky
108,Rawson,AR,-43.3002,-65.1023,278.97,61,0,2.34,clear sky
109,Ostroh,UA,50.3294,26.5143,291.18,72,35,1.42,scattered clouds
110,Luanda,AO,-8.8368,13.2343,294.15,94,20,2.06,few clouds
111,Uribia,CO,11.7139,-72.266,300.57,71,38,4.15,scattered clouds
112,Thompson,CA,55.7435,-97.8558,287.82,86,91,2.72,overcast clouds
